Wall time,Step,Value
1771241862.22174,335,-12768.865234375
1771241891.1158257,397,-1373.19091796875
1771241922.6717985,462,-2166.406982421875
1771241987.53419,597,-4982.69775390625
1771242005.875902,637,-1167.906494140625
1771242025.159181,677,-1167.4056396484375
1771242037.7574248,700,-547.006591796875
1771242050.4155264,727,-709.7056274414062
1771242071.3078673,772,-1255.6654052734375
1771242081.1590264,793,-540.8858032226562
1771242093.8013935,821,-769.899658203125
1771242104.2082803,845,-622.8712768554688
1771242116.513466,872,-726.5049438476562
